year,continent,value
1976,Africa,13
1979,Africa,7
1982,Africa,42
1989,Africa,21
1992,Africa,87
1995,Africa,81
1998,Africa,129
2005,Africa,182
2008,Africa,179
2011,Africa,169
2014,Africa,178
2021,Africa,0
2024,Africa,171
1976,Americas,117
1979,Americas,129
1982,Americas,97
1985,Americas,493
1992,Americas,213
1995,Americas,289
1998,Americas,490
2005,Americas,1106
2008,Americas,1267
2011,Americas,1380
2014,Americas,2112
2021,Americas,2
2024,Americas,5046
1974,Asia,50
1977,Asia,101
1980,Asia,128
1984,Asia,118
1987,Asia,300
1990,Asia,466
1993,Asia,675
2000,Asia,1751
2003,Asia,1032
2006,Asia,1848
2009,Asia,2942
2016,Asia,9008
2019,Asia,11203
2022,Asia,2960
1978,Europe,1877
1981,Europe,7446
1984,Europe,4595
1987,Europe,7771
1994,Europe,20785
1997,Europe,22331
2000,Europe,30577
2003,Europe,23584
2007,Europe,25171
2010,Europe,24375
2013,Europe,22414
2016,Europe,24481
2023,Europe,19656
1975,Oceania,149
1978,Oceania,336
1981,Oceania,1148
1984,Oceania,1049
1991,Oceania,2264
1994,Oceania,2664
1997,Oceania,3790
2004,Oceania,3639
2007,Oceania,5980
2010,Oceania,6338
2013,Oceania,8326
2020,Oceania,20
2023,Oceania,9839
1973,Africa,14
1980,Africa,2
1983,Africa,53
1986,Africa,21
1993,Africa,52
1996,Africa,85
1999,Africa,101
2002,Africa,83
2009,Africa,113
2012,Africa,171
2015,Africa,241
2018,Africa,224
1972,Americas,37
1975,Americas,80
1978,Americas,63
1981,Americas,218
1988,Americas,441
1991,Americas,280
1994,Americas,280
1997,Americas,414
2001,Americas,608
2004,Americas,976
2007,Americas,1211
2010,Americas,1268
2017,Americas,2724
2020,Americas,21
2023,Americas,5839
1975,Asia,119
1978,Asia,36
1981,Asia,192
1988,Asia,316
1991,Asia,592
1994,Asia,713
1997,Asia,1440
2004,Asia,2067
2007,Asia,2404
2010,Asia,4521
2013,Asia,7908
2020,Asia,22
2023,Asia,12485
1972,Europe,569
1975,Europe,1354
1982,Europe,5752
1985,Europe,3967
1988,Europe,9383
1991,Europe,12699
1998,Europe,28480
2001,Europe,24842
2004,Europe,24353
2011,Europe,24061
2014,Europe,23604
2017,Europe,24807
2020,Europe,45
1972,Oceania,36
1979,Oceania,228
1982,Oceania,881
1985,Oceania,1057
1988,Oceania,1563
1995,Oceania,3087
1998,Oceania,3827
2001,Oceania,2545
2008,Oceania,6657
2011,Oceania,6680
2014,Oceania,10272
2017,Oceania,9931
2024,Oceania,11481
1974,Africa,9
1977,Africa,11
1981,Africa,64
1984,Africa,61
1987,Africa,18
1990,Africa,51
1997,Africa,108
2000,Africa,131
2003,Africa,59
2006,Africa,128
2013,Africa,125
2016,Africa,129
2019,Africa,159
2022,Africa,64
1974,Americas,13
1977,Americas,77
1984,Americas,349
1987,Americas,463
1990,Americas,188
1993,Americas,234
2000,Americas,547
2003,Americas,792
2006,Americas,1010
2013,Americas,1968
2016,Americas,1863
2019,Americas,3593
2022,Americas,1422
1972,Asia,44
1979,Asia,72
1982,Asia,123
1985,Asia,78
1992,Asia,694
1995,Asia,879
1998,Asia,1274
2001,Asia,1423
2008,Asia,3011
2011,Asia,5338
2014,Asia,9066
2017,Asia,9055
2024,Asia,16361
1973,Europe,704
1976,Europe,1506
1979,Europe,1938
1986,Europe,6600
1989,Europe,9734
1992,Europe,15943
1995,Europe,21477
2002,Europe,21730
2005,Europe,26143
2008,Europe,26947
2015,Europe,23708
2018,Europe,26684
2021,Europe,12
2024,Europe,17775
1973,Oceania,59
1976,Oceania,234
1983,Oceania,1126
1986,Oceania,1314
1989,Oceania,2415
1992,Oceania,2187
1996,Oceania,3549
1999,Oceania,3478
2002,Oceania,2597
2005,Oceania,5279
2012,Oceania,7440
2015,Oceania,9003
2018,Oceania,10431
2021,Oceania,0
1972,Africa,11
1975,Africa,7
1978,Africa,1
1985,Africa,59
1988,Africa,131
1991,Africa,52
1994,Africa,140
2001,Africa,119
2004,Africa,204
2007,Africa,218
2010,Africa,137
2017,Africa,153
2020,Africa,6
2023,Africa,335
1973,Americas,46
1980,Americas,228
1983,Americas,157
1986,Americas,398
1989,Americas,290
1996,Americas,294
1999,Americas,713
2002,Americas,771
2009,Americas,1042
2012,Americas,1743
2015,Americas,2282
2018,Americas,3219
1973,Asia,46
1976,Asia,72
1983,Asia,83
1986,Asia,177
1989,Asia,474
1996,Asia,861
1999,Asia,1544
2002,Asia,1277
2005,Asia,1757
2012,Asia,6651
2015,Asia,9018
2018,Asia,10244
2021,Asia,12
1974,Europe,1078
1977,Europe,1474
1980,Europe,4305
1983,Europe,5200
1990,Europe,10615
1993,Europe,19693
1996,Europe,23758
1999,Europe,26713
2006,Europe,24066
2009,Europe,23290
2012,Europe,21692
2019,Europe,33872
2022,Europe,7360
1974,Oceania,76
1977,Oceania,180
1980,Oceania,569
1987,Oceania,1511
1990,Oceania,2489
1993,Oceania,2457
2000,Oceania,3835
2003,Oceania,2931
2006,Oceania,5520
2009,Oceania,4711
2016,Oceania,8582
2019,Oceania,13853
2022,Oceania,1600
